No. Resp;Kelas;Gender;Ability to use Media (Am);;;;;;;;;;;;;Managing digital learning Platforms (Mp);;;;;;;;;Advanced use of Digital Media (Adm);;;;;;;;;;;;;Ethics and safety in the use of digital media (Es);;;;;;;;;;;;;;
;;;Am1;Am2;Am3;Am4;Am5;Am6;Am7;Am8;Am9;Am10;Am11;Am12;Am13;Mp1;Mp2;Mp3;Mp4;Mp5;Mp6;Mp7;Mp8;Mp9;Adm1;Adm2;Adm3;Adm4;Adm5;Adm6;Adm7;Adm8;Adm9;Adm10;Adm11;Adm12;Adm13;Es1;Es2;Es3;Es4;Es5;Es6;Es7;Es8;Es9;Es10;Es11;Es12;Es13;Es14;Es15
1;3;1;5;5;5;4;4;4;4;3;5;5;5;5;4;3;3;4;3;4;5;5;5;5;5;5;4;5;5;5;4;4;3;5;5;5;5;5;5;5;4;4;5;5;5;5;4;5;5;4;5;5
2;3;2;5;3;4;5;4;4;4;3;5;4;5;4;5;5;5;4;4;5;4;4;1;1;3;4;4;3;5;3;4;4;4;4;4;4;4;4;4;4;3;4;4;4;2;3;2;5;5;5;2;4
3;3;1;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;5;5;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4;4;4;4;5;4;5;4;4;2;4;5;2;4;5
4;3;2;5;5;5;5;5;5;5;5;5;3;4;5;5;3;3;3;3;3;4;3;5;5;4;3;3;3;5;5;3;4;3;3;3;3;3;5;5;3;3;4;4;4;5;3;5;3;5;3;3;3
5;3;1;5;3;5;5;5;5;5;4;4;5;5;5;5;3;5;3;4;2;5;3;4;3;3;3;5;4;3;5;5;3;3;3;5;5;4;5;5;5;5;3;5;3;3;3;5;3;5;1;4;5
6;3;1;4;5;4;5;4;5;5;5;5;5;5;5;3;4;4;4;4;4;4;4;5;5;4;2;3;4;4;5;5;5;3;3;3;3;5;5;5;4;4;4;4;4;5;4;5;5;5;5;4;4
7;3;2;5;5;5;5;5;5;5;5;4;4;4;5;3;3;5;5;5;5;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;4;3;4;4;4
8;3;2;5;5;5;5;5;5;5;5;5;5;5;5;3;5;3;3;3;3;4;5;5;4;5;3;3;3;5;5;5;4;3;3;3;3;4;5;5;4;3;3;3;4;4;5;5;5;4;4;5;5
9;3;1;4;4;5;5;4;4;4;4;4;4;4;4;4;4;3;3;4;2;3;3;4;4;3;2;2;3;4;4;4;3;3;3;4;4;4;4;4;4;3;3;3;4;4;4;5;4;3;3;2;3
10;3;1;3;3;3;4;4;4;4;4;5;5;5;5;4;4;3;3;3;3;5;4;5;3;4;3;3;3;5;5;5;5;3;4;5;5;5;5;5;5;3;5;5;5;5;5;5;5;5;5;5;5
11;3;2;4;5;5;5;5;5;5;4;4;5;5;5;4;4;3;4;3;3;4;4;5;4;3;3;3;3;3;3;4;3;3;4;4;4;4;5;5;4;3;3;3;4;4;4;4;3;4;3;4;1
12;3;2;5;5;5;5;3;3;3;5;5;5;5;5;5;3;3;5;5;5;3;3;5;4;3;3;3;3;3;3;5;5;3;5;3;4;4;5;3;3;5;5;5;3;5;4;5;5;5;5;5;4
13;3;2;2;5;2;2;5;4;2;2;2;5;1;5;5;1;1;1;1;2;1;1;5;1;1;1;1;1;1;5;5;5;1;5;1;1;5;5;5;5;1;1;5;5;5;5;5;5;5;4;4;1
14;3;1;3;4;2;4;2;3;3;3;4;5;4;4;4;3;2;3;3;2;3;2;5;2;3;3;3;3;3;3;3;2;2;2;2;2;3;4;4;3;3;4;5;3;4;4;4;5;3;3;3;4
