Urbanization_level,Age,Self_efficacy,Inservice_training,Digital_activity,Gender,Information_skills,Teacher_type
3,45, , ,0.375,1,0,1
3,55,1,1,0.65,0,0,1
3,34, , ,0.275,0,0.498611111111111,1
3,43, , ,0.45,0,1.16388888888889,1
3,39,0,0.2,0.25,1,0.825,1
1,49, , ,0.425,0,1.03472222222222,1
3,33, , ,0.775,0,1.09027777777778,1
3,28, , ,0.525,0,1.38888888888889,1
3,47,1,1,0.675,1,1.41666666666667,1
3,44, , ,0.625,0,1.45138888888889,1
3,50, , ,0.45,0,0.795833333333333,1
3,49, , ,0.425,1,0.847222222222222,1
1,50,0.2,0,0.5,0,0.895833333333333,1
3,47, , ,0.525,0,0.958333333333333,1
3,33,0.8,0.8,0.425,0,1.01388888888889,1
3,43,1,1,0.475,1,1.41666666666667,1
3,30, , ,0.425,0,1.58333333333333,1
3,29,0.8,0.8,0.525,0,1.68055555555556,1
1,36,0.6,0.4,0.475,0,1.73611111111111,1
3,60, , ,0.575,0,0.316666666666667,1
3,53, , ,0.5,0,0.513888888888889,1
3,39,0.4,0.4,0.45,0,1.01388888888889,1
3,57, , ,0.5,0,1.02083333333333,1
3,64,0,0,0.25,0,1.05416666666667,1
1,47, , ,0.45,0,1.06944444444444,1
2,65,0,0,0.4,0,1.125,1
1,61,0,0,0.25,0,1.15,1
3,35, , ,0.5,1,1.17916666666667,1
3,38, , ,0.5,0,1.27777777777778,1
3,36,1,0.2,0.425,0,1.28333333333333,1
3,50,0.4,0,0.5,0,1.29861111111111,1
3,49,0.2,0.2,0.525,0,1.31111111111111,1
2,28, , ,0.475,0,1.3125,1
1,48, , ,0.5,0,1.33333333333333,1
3,55, , ,0.65,1,1.375,1
3,45,1,0.8,0.575,0,1.38888888888889,1
3,38, , ,0.6,0,1.38888888888889,1
3,30, , ,0.375,0,1.38888888888889,1
3,44, , ,0.5,1,1.40277777777778,1
3,47,1,0.8,0.575,0,1.44444444444444,1
3,33,1,0.8,0.775,0,1.45138888888889,1
3,43, , ,0.525,0,1.45833333333333,1
3,35, , ,0.55,1,1.45833333333333,1
1,34,0.8,0.8,0.475,0,1.47222222222222,1
1,43, , ,0.55,0,1.48611111111111,1
3,49,0.2,0,0.5,0,1.48611111111111,1
2,32,1,1,0.575,0,1.48611111111111,1
3,36, , ,0.5,0,1.52777777777778,1
3,36, , ,0.45,0,1.54166666666667,1
3,36,0.4,0,0.7,0,1.54166666666667,1
1,33, , ,0.425,0,1.59027777777778,1
1,36,1,0.6,0.675,1,1.65277777777778,1
3,33, , ,0.475,0,1.68055555555556,1
2,34,1,0.4,0.65,0,1.72222222222222,1
2,41, , ,0.475,0,0.722222222222222,1
1,41, , ,0.45,0,0.880555555555556,1
3,44, , ,0.525,0,0.916666666666667,1
3,44, , ,0.375,0,0.965277777777778,1
3,38, , ,0.5,0,1.02777777777778,1
3,48,0.2,0.2,0.325,0,1.11111111111111,1
3,38,1,0.8,0.325,1,1.125,1
3,50, , ,0.55,1,1.17222222222222,1
3,42, , ,0.55,0,1.19444444444444,1
3,38,0.8,0.4,0.3,0,1.19444444444444,1
2,50, , ,0.425,0,1.22916666666667,1
3,53, , ,0.225,0,1.23611111111111,1
3,42, , ,0.45,1,1.25,1
